place,population,income,povertycount
"Moultrie County, Illinois",14641,29538,7045
"Ogle County, Illinois",51025,31397,25032
"Peoria County, Illinois",182770,32041,81821
"Perry County, Illinois",21251,26035,8126
"Piatt County, Illinois",16401,33468,8268
"Pike County, Illinois",15672,26157,6815
"Pope County, Illinois",4203,22065,1138
"Pulaski County, Illinois",5510,21605,1830
"Putnam County, Illinois",5721,34438,2906
"Randolph County, Illinois",32295,26558,13190
"Richland County, Illinois",15766,26358,7165
"Rock Island County, Illinois",143873,29756,67890
"St. Clair County, Illinois",262338,30807,120965
"Saline County, Illinois",23994,25342,9902
"Sangamon County, Illinois",196861,35509,94128
"Schuyler County, Illinois",6953,24831,2893
"Scott County, Illinois",5005,27052,2311
"Shelby County, Illinois",21737,27029,10426
"Stark County, Illinois",5447,30018,2479
"Stephenson County, Illinois",45093,27911,20922
"Tazewell County, Illinois",133195,33507,62800
"Union County, Illinois",16968,25879,6962
"Vermilion County, Illinois",77563,25307,31285
"Wabash County, Illinois",11546,27781,5412
"Warren County, Illinois",17146,25730,7948
"Washington County, Illinois",14058,32838,7110
"Wayne County, Illinois",16402,26313,7370
"White County, Illinois",13868,26746,5939
"Whiteside County, Illinois",56016,29856,26264
"Will County, Illinois",689315,36524,351095
"Williamson County, Illinois",67102,28375,28866
"Winnebago County, Illinois",284819,29278,132720
"Woodford County, Illinois",38700,37170,18653
"Adams County, Indiana",35376,23316,15495
"Allen County, Indiana",372575,29160,182422
"Bartholomew County, Indiana",82481,31774,40151
"Benton County, Indiana",8677,25187,4177
"Blackford County, Indiana",12013,24302,5194
"Boone County, Indiana",65544,48295,34202
"Brown County, Indiana",15064,34372,7042
"Carroll County, Indiana",20074,29366,9367
"Cass County, Indiana",37880,24948,17738
"Clark County, Indiana",116507,29062,58218
"Clay County, Indiana",26234,26257,12009
"Clinton County, Indiana",32273,24489,15183
"Crawford County, Indiana",10569,22443,4247
"Daviess County, Indiana",33120,23848,14545
"Dearborn County, Indiana",49479,30800,24757
"Decatur County, Indiana",26562,27006,13247
"DeKalb County, Indiana",42927,29073,21541
"Delaware County, Indiana",115020,25107,52763
"Dubois County, Indiana",42543,30366,22529
"Elkhart County, Indiana",204558,26150,97025
"Fayette County, Indiana",23194,24015,10070
"Floyd County, Indiana",77320,33478,38812
"Fountain County, Indiana",16430,28058,7601
"Franklin County, Indiana",22774,29166,11301
"Fulton County, Indiana",20096,26427,9330
"Gibson County, Indiana",33656,28076,16591
"Grant County, Indiana",66452,23046,29082
"Greene County, Indiana",32159,25453,14333
"Hamilton County, Indiana",323117,49287,172742
"Hancock County, Indiana",75164,34119,39099
"Harrison County, Indiana",39940,28119,17546
"Hendricks County, Indiana",163799,36569,86609
"Henry County, Indiana",48255,24687,19851
"Howard County, Indiana",82331,28129,37078
"Huntington County, Indiana",36359,26502,18586
"Jackson County, Indiana",44025,25840,20694
"Jasper County, Indiana",33447,28240,15558
"Jay County, Indiana",20840,23443,9616
"Jefferson County, Indiana",32201,27152,14357
"Jennings County, Indiana",27710,26017,13854
"Johnson County, Indiana",153716,34408,78779
"Knox County, Indiana",37065,26041,18220
"Kosciusko County, Indiana",79035,29786,39704
"LaGrange County, Indiana",39193,24549,16834
"Lake County, Indiana",485707,28923,219897
"LaPorte County, Indiana",110154,27264,47646
"Lawrence County, Indiana",45548,26603,20914
"Madison County, Indiana",129455,25557,57537
"Marion County, Indiana",951869,28566,464897
"Marshall County, Indiana",46461,25761,21088
"Martin County, Indiana",10212,26758,4705
"Miami County, Indiana",35815,24028,15293
"Monroe County, Indiana",146461,28514,73499
"Montgomery County, Indiana",38287,27162,18944
"Morgan County, Indiana",69922,30721,33408
"Newton County, Indiana",13992,26007,6139
"Noble County, Indiana",47506,26832,22957
"Ohio County, Indiana",5874,30517,2932
"Orange County, Indiana",19545,24080,8706
"Owen County, Indiana",20835,25209,9683
"Parke County, Indiana",16946,23574,6623
"Perry County, Indiana",19102,25707,8372
"Pike County, Indiana",12378,25624,5650
"Porter County, Indiana",168636,34595,79993
"Posey County, Indiana",25560,32091,12401
"Pulaski County, Indiana",12559,24992,5450
"Putnam County, Indiana",37384,26120,16558
"Randolph County, Indiana",24926,24964,11372
"Ripley County, Indiana",28391,28312,13966
"Rush County, Indiana",16641,26301,7563
"St. Joseph County, Indiana",270216,28215,128744
"Scott County, Indiana",23759,23646,10135
"Shelby County, Indiana",44438,29583,22227
"Spencer County, Indiana",20447,31287,9938
"Starke County, Indiana",22952,24673,9751
"Steuben County, Indiana",34453,29949,17584
"Sullivan County, Indiana",20730,24356,8591
"Switzerland County, Indiana",10685,24944,4519
"Tippecanoe County, Indiana",191553,27451,96929
"Tipton County, Indiana",15162,31025,7530
"Union County, Indiana",7113,25661,3395
"Vanderburgh County, Indiana",181291,29638,88298
"Vermillion County, Indiana",15539,26493,6771
"Vigo County, Indiana",107459,25113,48625
"Wabash County, Indiana",31389,27149,14712
"Warren County, Indiana",8237,31104,3974
"Warrick County, Indiana",62280,37466,31695
"Washington County, Indiana",27848,25015,12238
"Wayne County, Indiana",66342,26510,30108
"Wells County, Indiana",28011,28663,13966
"White County, Indiana",24149,27461,11283
"Whitley County, Indiana",33730,31843,17204
"Adair County, Iowa",7085,30822,3506
"Adams County, Iowa",3670,28440,1674
"Allamakee County, Iowa",13813,27892,6752
"Appanoose County, Iowa",12452,26012,5263
"Audubon County, Iowa",5571,30344,2906
"Benton County, Iowa",25636,33301,13269
"Black Hawk County, Iowa",132393,30563,69185
"Boone County, Iowa",26370,32889,14064
"Bremer County, Iowa",24864,32814,13158
"Buchanan County, Iowa",21118,33373,10518
"Buena Vista County, Iowa",20058,26526,10343
"Butler County, Iowa",14628,30036,7202
"Calhoun County, Iowa",9744,28434,4314
"Carroll County, Iowa",20281,31648,10628
"Cass County, Iowa",13091,28302,6370
"Cedar County, Iowa",18457,32268,9634
"Cerro Gordo County, Iowa",42834,32757,22181
"Cherokee County, Iowa",11343,32999,5822
"Chickasaw County, Iowa",12026,31095,6519
"Clarke County, Iowa",9360,27416,4615
"Clay County, Iowa",16211,28747,8111
"Clayton County, Iowa",17625,28294,9087
"Clinton County, Iowa",46909,28483,22152
"Crawford County, Iowa",17034,29196,7824
"Dallas County, Iowa",87099,45090,47496
"Davis County, Iowa",8920,29387,4202
"Decatur County, Iowa",7979,22875,3666
"Delaware County, Iowa",17183,32112,9258
"Des Moines County, Iowa",39386,29941,19045
"Dickinson County, Iowa",17127,39052,9204
"Dubuque County, Iowa",96982,32905,50533
"Emmet County, Iowa",9438,28651,4721
"Fayette County, Iowa",19803,28643,9796
"Floyd County, Iowa",15786,29622,7857
"Franklin County, Iowa",10162,29546,4965
"Fremont County, Iowa",6946,29261,3262
"Greene County, Iowa",8950,28451,4540
"Grundy County, Iowa",12299,36231,6219
"Guthrie County, Iowa",10669,31128,5326
"Hamilton County, Iowa",14997,30127,7348
"Hancock County, Iowa",10802,30309,5647
"Hardin County, Iowa",17061,28770,8491
"Harrison County, Iowa",14089,32443,7292
"Henry County, Iowa",19941,26408,9264
"Howard County, Iowa",9226,29032,4728
"Humboldt County, Iowa",9554,30480,4656
"Ida County, Iowa",6901,33789,3452
"Iowa County, Iowa",16189,33755,8516
"Jackson County, Iowa",19401,29660,9547
"Jasper County, Iowa",36971,28604,18027
"Jefferson County, Iowa",18148,28611,9052
"Johnson County, Iowa",148577,35108,84129
"Jones County, Iowa",20559,29453,9850
"Keokuk County, Iowa",10188,29957,4856
"Kossuth County, Iowa",14978,31225,7322
"Lee County, Iowa",34227,26710,15554
"Linn County, Iowa",223861,34545,118971
"Louisa County, Iowa",11178,29021,5621
"Lucas County, Iowa",8583,31069,4113
"Lyon County, Iowa",11776,29124,6076
"Madison County, Iowa",16012,35470,8446
"Mahaska County, Iowa",22164,28174,11050
"Marion County, Iowa",33172,30644,16911
"Marshall County, Iowa",39964,27196,18901
"Mills County, Iowa",15034,34850,7404
"Mitchell County, Iowa",10608,29676,5392
"Monona County, Iowa",8730,29591,4314
"Monroe County, Iowa",7807,28999,3785
"Montgomery County, Iowa",10053,29781,4867
"Muscatine County, Iowa",42889,29511,21555
"O'Brien County, Iowa",13835,30564,7224
"Osceola County, Iowa",6052,30955,3109
"Page County, Iowa",15268,27390,6982
"Palo Alto County, Iowa",9003,28445,4581
"Plymouth County, Iowa",25068,33982,13367
"Pocahontas County, Iowa",6797,30013,3322
"Polk County, Iowa",479612,35433,257032
"Pottawattamie County, Iowa",93393,30318,47210
"Poweshiek County, Iowa",18388,31827,9602
"Ringgold County, Iowa",4964,28756,2203
"Sac County, Iowa",9802,32274,5024
"Scott County, Iowa",172446,33643,84565
"Shelby County, Iowa",11606,32703,6197
"Sioux County, Iowa",34827,29360,18732
"Story County, Iowa",96941,29539,51453
"Tama County, Iowa",17032,28585,8459
"Taylor County, Iowa",6167,29778,2982
"Union County, Iowa",12358,27750,6143
"Van Buren County, Iowa",7150,27252,3051
"Wapello County, Iowa",35141,26424,16377
"Warren County, Iowa",50076,36496,26361
"Washington County, Iowa",22100,30547,11307
"Wayne County, Iowa",6429,25628,2799
"Webster County, Iowa",36545,26498,16772
"Winnebago County, Iowa",10534,28342,5477
"Winneshiek County, Iowa",20262,32075,11678
"Woodbury County, Iowa",102586,28688,51942
"Worth County, Iowa",7445,31949,3889
"Wright County, Iowa",12739,29622,5738
"Allen County, Kansas",12556,23734,5873
"Anderson County, Kansas",7835,24309,3368
"Atchison County, Kansas",16268,24237,7792
"Barber County, Kansas",4624,27648,2127
"Barton County, Kansas",26453,27495,13276
"Bourbon County, Kansas",14608,23102,6412
"Brown County, Kansas",9626,25208,4575
"Butler County, Kansas",66698,29986,31016
"Chase County, Kansas",2637,23055,1111
"Chautauqua County, Kansas",3323,22962,1364
"Cherokee County, Kansas",20179,22615,8566
"Cheyenne County, Kansas",2665,29041,1269
"Clark County, Kansas",2026,28227,988
"Clay County, Kansas",8082,29235,3848
"Cloud County, Kansas",8938,27279,4377
"Coffey County, Kansas",8254,33371,4126
"Comanche County, Kansas",1740,30355,925
"Cowley County, Kansas",35351,24726,15488
"Crawford County, Kansas",38968,23091,18488
"Decatur County, Kansas",2860,30905,1387
"Dickinson County, Kansas",18828,27219,8958
"Doniphan County, Kansas",7684,25775,3841
"Douglas County, Kansas",120290,32281,68190
"Edwards County, Kansas",2869,27431,1416
"Elk County, Kansas",2523,23875,967
"Ellis County, Kansas",28775,30956,16115
"Ellsworth County, Kansas",6231,26443,2686
"Finney County, Kansas",36750,24152,18616
"Ford County, Kansas",34179,23293,16617
"Franklin County, Kansas",25558,26998,12732
"Geary County, Kansas",34025,23897,12001
"Gove County, Kansas",2644,28859,1288
"Graham County, Kansas",2519,27236,1229
"Grant County, Kansas",7467,25411,3438
"Gray County, Kansas",6039,29421,3158
"Greeley County, Kansas",1185,28982,583
"Greenwood County, Kansas",6081,27500,2875
"Hamilton County, Kansas",2591,22003,1231
"Harper County, Kansas",5594,24800,2371
"Harvey County, Kansas",34503,28226,17037
"Haskell County, Kansas",4018,26814,1916
"Hodgeman County, Kansas",1876,30044,989
"Jackson County, Kansas",13266,28127,6081
"Jefferson County, Kansas",18890,30655,9450
"Jewell County, Kansas",2885,27731,1220
"Johnson County, Kansas",591506,46517,322681
"Kearny County, Kansas",3907,23415,1659
"Kingman County, Kansas",7340,34578,3576
"Kiowa County, Kansas",2505,26321,1212
"Labette County, Kansas",20119,24572,9518
"Lane County, Kansas",1564,28435,864
"Leavenworth County, Kansas",80745,32444,35647
"Lincoln County, Kansas",3044,25803,1440
"Linn County, Kansas",9671,27926,4302
"Logan County, Kansas",2805,28135,1425
"Lyon County, Kansas",33251,26904,17330
"McPherson County, Kansas",28567,31006,14832
"Marion County, Kansas",11964,26577,5726
"Marshall County, Kansas",9749,28469,4854
"Meade County, Kansas",4180,28945,2103
"Miami County, Kansas",33417,35659,16663
"Mitchell County, Kansas",6145,25801,2728
"Montgomery County, Kansas",32521,24647,14494
"Morris County, Kansas",5566,29558,2719
"Morton County, Kansas",2754,23447,1150
"Nemaha County, Kansas",10121,30344,5292
"Neosho County, Kansas",16108,23845,7207
"Ness County, Kansas",2876,34243,1389
"Norton County, Kansas",5446,25352,2350
"Osage County, Kansas",15881,27951,7406
"Osborne County, Kansas",3530,30843,1751
"Ottawa County, Kansas",5822,29230,2927
"Pawnee County, Kansas",6629,25131,2694
"Phillips County, Kansas",5340,27431,2621
"Pottawatomie County, Kansas",23847,29345,11216
"Pratt County, Kansas",9452,27442,4493
"Rawlins County, Kansas",2502,28590,1255
"Reno County, Kansas",62765,27073,29344
"Republic County, Kansas",4658,27424,2264
"Rice County, Kansas",9658,26737,4715
"Riley County, Kansas",75056,27272,36374
"Rooks County, Kansas",5053,26420,2465
"Rush County, Kansas",3022,26552,1436
"Russell County, Kansas",6948,26090,3135
"Saline County, Kansas",54701,28813,27568
"Scott County, Kansas",4917,29315,2502
"Sedgwick County, Kansas",513375,29530,249591
"Seward County, Kansas",22349,20754,10870
"Shawnee County, Kansas",177852,30974,85691
"Sheridan County, Kansas",2506,35465,1308
"Sherman County, Kansas",5938,27919,2931
"Smith County, Kansas",3627,28994,1745
"Stafford County, Kansas",4181,28060,2017
"Stanton County, Kansas",2052,23033,917
"Stevens County, Kansas",5603,24652,2493
"Sumner County, Kansas",23114,26954,10559
"Thomas County, Kansas",7810,30442,4232
"Trego County, Kansas",2840,34230,1603
"Wabaunsee County, Kansas",6889,27876,3379
"Wallace County, Kansas",1574,27966,772
"Washington County, Kansas",5493,27841,2637
"Wichita County, Kansas",2130,29126,1119
"Wilson County, Kansas",8688,27471,3993
"Woodson County, Kansas",3157,22672,1340
"Wyandotte County, Kansas",164861,22335,76548
"Adair County, Kentucky",19222,21196,7857
"Allen County, Kentucky",20944,22294,8744
"Anderson County, Kentucky",22409,27250,10461
"Ballard County, Kentucky",8032,25217,3319
"Barren County, Kentucky",43884,21869,18598
"Bath County, Kentucky",12355,22238,4895
"Bell County, Kentucky",26791,15501,7569
"Boone County, Kentucky",130820,35991,67668
"Bourbon County, Kentucky",20058,27802,9284
"Boyd County, Kentucky",47682,26193,18345
"Boyle County, Kentucky",29972,26413,12253
"Bracken County, Kentucky",8305,24124,3665
"Breathitt County, Kentucky",12977,19053,3911
"Breckinridge County, Kentucky",20176,23286,7714
"Bullitt County, Kentucky",80171,29333,40256
"Butler County, Kentucky",12764,22951,5179
"Caldwell County, Kentucky",12702,28799,5238
"Calloway County, Kentucky",38837,23219,18318
"Campbell County, Kentucky",92861,34025,46997
"Carlisle County, Kentucky",4784,30065,1865
"Carroll County, Kentucky",10671,25217,4458
"Carter County, Kentucky",27159,18778,8723
"Casey County, Kentucky",15885,18457,5659
"Christian County, Kentucky",71414,23021,23554
"Clark County, Kentucky",35971,28802,16357
"Clay County, Kentucky",20368,15391,5509
"Clinton County, Kentucky",10193,21019,3635
"Crittenden County, Kentucky",9000,23959,3704
"Cumberland County, Kentucky",6697,18728,2587
"Daviess County, Kentucky",100474,28806,45985
"Edmonson County, Kentucky",12138,21802,4615
"Elliott County, Kentucky",7510,13856,1711
"Estill County, Kentucky",14224,17746,4831
"Fayette County, Kentucky",320601,34442,167423
"Fleming County, Kentucky",14513,23593,6061
"Floyd County, Kentucky",36456,19471,10603
"Franklin County, Kentucky",50529,30711,24531
"Fulton County, Kentucky",6130,18247,2005
"Gallatin County, Kentucky",8737,23638,3863
"Garrard County, Kentucky",17445,26272,7412
"Grant County, Kentucky",24951,23721,10773
"Graves County, Kentucky",37248,24750,15681
"Grayson County, Kentucky",26247,21231,10697
"Green County, Kentucky",10979,22506,4446
"Greenup County, Kentucky",35555,27722,14322
"Hancock County, Kentucky",8720,24830,3713
"Hardin County, Kentucky",108527,28606,47906
"Harlan County, Kentucky",26699,16468,7174
"Harrison County, Kentucky",18722,24154,8134
"Hart County, Kentucky",18729,20742,7248
"Henderson County, Kentucky",45829,26212,20338
"Henry County, Kentucky",15911,25202,7291
"Hickman County, Kentucky",4510,28114,1598
"Hopkins County, Kentucky",45331,25042,18846
"Jackson County, Kentucky",13369,18560,4226
"Jefferson County, Kentucky",767419,33251,382608
"Jessamine County, Kentucky",53032,31146,24409
"Johnson County, Kentucky",22634,21974,6782
"Kenton County, Kentucky",165668,33330,85375
"Knott County, Kentucky",15260,18475,4601
"Knox County, Kentucky",31365,17832,9838
"Larue County, Kentucky",14204,24803,6387
"Laurel County, Kentucky",60357,22398,23932
"Lawrence County, Kentucky",15671,18124,4685
"Lee County, Kentucky",6881,17386,2002
"Leslie County, Kentucky",10283,15838,3000
"Letcher County, Kentucky",22295,20641,7050
"Lewis County, Kentucky",13417,19860,4330
"Lincoln County, Kentucky",24476,21480,10037
"Livingston County, Kentucky",9235,27728,3888
"Logan County, Kentucky",26902,24221,11162
"Lyon County, Kentucky",8271,26994,2877
"McCracken County, Kentucky",65268,32357,28954
"McCreary County, Kentucky",17465,14505,4797
"McLean County, Kentucky",9283,25610,3729
"Madison County, Kentucky",90802,25837,42683
"Magoffin County, Kentucky",12491,18243,3372
"Marion County, Kentucky",19244,22241,7700
"Marshall County, Kentucky",31192,29792,13466
"Martin County, Kentucky",11648,18017,3276
"Mason County, Kentucky",17112,28411,7255
"Meade County, Kentucky",28182,27861,12001
"Menifee County, Kentucky",6443,20588,2425
"Mercer County, Kentucky",21592,27061,9681
"Metcalfe County, Kentucky",10036,19121,3918
"Monroe County, Kentucky",10627,23481,4394
"Montgomery County, Kentucky",27884,22381,11657
"Morgan County, Kentucky",13288,18310,3699
"Muhlenberg County, Kentucky",30951,22612,11945
"Nelson County, Kentucky",45650,32735,21654
"Nicholas County, Kentucky",7153,22212,2821
"Ohio County, Kentucky",24071,24297,9677
"Oldham County, Kentucky",65967,42272,31732
"Owen County, Kentucky",10796,25640,4488
"Owsley County, Kentucky",4442,18940,1262
"Pendleton County, Kentucky",14572,24120,6497
"Perry County, Kentucky",26624,23135,8855
"Pike County, Kentucky",59497,22437,20047
"Powell County, Kentucky",12304,20841,4936
"Pulaski County, Kentucky",64350,24646,25852
"Robertson County, Kentucky",2123,22552,821
"Rockcastle County, Kentucky",16820,20892,6124
"Rowan County, Kentucky",24507,20488,10155
"Russell County, Kentucky",17778,20674,6759
"Scott County, Kentucky",54667,32796,28293
"Shelby County, Kentucky",47325,32468,23414
"Simpson County, Kentucky",18183,24458,8082
"Spencer County, Kentucky",18680,33661,9737
"Taylor County, Kentucky",25571,23602,11199
"Todd County, Kentucky",12316,23143,4702
"Trigg County, Kentucky",14449,28264,5685
"Trimble County, Kentucky",8558,27237,3814
"Union County, Kentucky",14638,23097,6064
"Warren County, Kentucky",128652,28558,64595
"Washington County, Kentucky",12023,26035,5775
"Wayne County, Kentucky",20546,25707,7377
"Webster County, Kentucky",13068,22911,4935
"Whitley County, Kentucky",36131,20547,12811
"Wolfe County, Kentucky",7207,14923,1774
"Woodford County, Kentucky",26318,32264,12870
"Acadia Parish, Louisiana",62457,23122,25238
"Allen Parish, Louisiana",25618,20964,8686
"Ascension Parish, Louisiana",123114,34168,59423
"Assumption Parish, Louisiana",22478,25752,9265
"Avoyelles Parish, Louisiana",40669,22017,14953
"Beauregard Parish, Louisiana",37043,26331,14342
"Bienville Parish, Louisiana",13564,21491,4661
"Bossier Parish, Louisiana",126499,28766,54094
"Caddo Parish, Louisiana",245831,26545,103071
"Calcasieu Parish, Louisiana",201619,28778,89962
"Caldwell Parish, Louisiana",9992,23216,3355
"Cameron Parish, Louisiana",6930,28358,3148
"Catahoula Parish, Louisiana",9766,22412,3386
"Claiborne Parish, Louisiana",15985,16770,5193
"Concordia Parish, Louisiana",19778,19092,6541
"De Soto Parish, Louisiana",27289,26767,10811
"East Baton Rouge Parish, Louisiana",443763,32431,217043
"East Carroll Parish, Louisiana",7096,19483,1359
"East Feliciana Parish, Louisiana",19371,23612,6502
"Evangeline Parish, Louisiana",33589,18770,11740
"Franklin Parish, Louisiana",20238,19206,6796
"Grant Parish, Louisiana",22340,18801,7499
"Iberia Parish, Louisiana",71887,23290,30188
"Iberville Parish, Louisiana",32822,23751,12795
"Jackson Parish, Louisiana",15879,21594,5559
"Jefferson Parish, Louisiana",434850,30374,210542
"Jefferson Davis Parish, Louisiana",31441,25474,12292
"Lafayette Parish, Louisiana",241973,31892,119065
"Lafourche Parish, Louisiana",98108,28683,43281
"LaSalle Parish, Louisiana",14936,21654,5271
"Lincoln Parish, Louisiana",47246,22863,20796
"Livingston Parish, Louisiana",138928,29354,63662
"Madison Parish, Louisiana",11306,16671,3414
"Morehouse Parish, Louisiana",25610,18494,9217
"Natchitoches Parish, Louisiana",38769,19198,12171
"Orleans Parish, Louisiana",390845,31385,181973
"Ouachita Parish, Louisiana",155494,24361,63687
"Plaquemines Parish, Louisiana",23338,29258,9689
"Pointe Coupee Parish, Louisiana",22016,28180,8952
"Rapides Parish, Louisiana",130970,25984,54389
"Red River Parish, Louisiana",8565,22924,3226
"Richland Parish, Louisiana",20350,20107,7731
"Sabine Parish, Louisiana",23991,22687,8112
"St. Bernard Parish, Louisiana",46266,20763,18851
"St. Charles Parish, Louisiana",52773,32935,24457
"St. Helena Parish, Louisiana",10297,24380,3812
"St. James Parish, Louisiana",21308,26739,9051
"St. John the Baptist Parish, Louisiana",43242,25968,18972
"St. Landry Parish, Louisiana",83172,21162,31300
"St. Martin Parish, Louisiana",53732,24997,22634
"St. Mary Parish, Louisiana",50968,22839,19256
"St. Tammany Parish, Louisiana",255155,34658,117839
"Tangipahoa Parish, Louisiana",132057,25163,57761
"Tensas Parish, Louisiana",4561,15912,1332
"Terrebonne Parish, Louisiana",112054,25924,46657
"Union Parish, Louisiana",22353,24030,8620
"Vermilion Parish, Louisiana",59865,25342,24330
"Vernon Parish, Louisiana",49646,24554,16340
"Washington Parish, Louisiana",46435,20177,17372
"Webster Parish, Louisiana",39242,18962,14567
"West Baton Rouge Parish, Louisiana",26101,29697,12525
"West Carroll Parish, Louisiana",11041,22439,3767
"West Feliciana Parish, Louisiana",15428,26945,6042
"Winn Parish, Louisiana",14313,22107,5193
"Androscoggin County, Maine",107602,28956,54573
"Aroostook County, Maine",67809,25477,29593
"Cumberland County, Maine",292307,40527,163077
"Franklin County, Maine",29982,27252,14474
"Hancock County, Maine",54601,34361,27238
"Kennebec County, Maine",121753,30685,59678
"Knox County, Maine",39759,33126,19979
"Lincoln County, Maine",34201,33595,16426
"Oxford County, Maine",57550,25464,26073
"Penobscot County, Maine",151774,28523,72962
"Piscataquis County, Maine",16836,24074,6403
"Sagadahoc County, Maine",35452,34675,18674
"Somerset County, Maine",50520,24386,21939
"Waldo County, Maine",39539,29674,18889
"Washington County, Maine",31491,25157,12571
"York County, Maine",204316,36093,107868
"Allegany County, Maryland",71445,23607,28291
"Anne Arundel County, Maryland",571275,46629,292548
"Baltimore County, Maryland",828018,40105,422955
"Calvert County, Maryland",91511,45783,46981
"Caroline County, Maryland",33049,29624,16071
"Carroll County, Maryland",167699,42083,87632
"Cecil County, Maryland",102552,34810,51057
"Charles County, Maryland",159428,41717,80788
"Dorchester County, Maryland",32138,30293,14860
"Frederick County, Maryland",251422,43582,134149
"Garrett County, Maryland",29235,30617,13870
"Harford County, Maryland",252222,41147,130345
"Howard County, Maryland",318855,54628,170318
"Kent County, Maryland",19536,36813,9304
"Montgomery County, Maryland",1043530,54510,560950
"Prince George's County, Maryland",908670,37191,483867
"Queen Anne's County, Maryland",49632,44754,25558
"St. Mary's County, Maryland",112290,40354,55220
"Somerset County, Maryland",25729,18772,8888
"Talbot County, Maryland",37167,49136,17732
"Washington County, Maryland",150109,30464,68511
"Wicomico County, Maryland",102539,28080,48959
"Worcester County, Maryland",51765,38080,24144
"Baltimore city, Maryland",609032,31271,280888
"Barnstable County, Massachusetts",213496,44505,105715
"Berkshire County, Massachusetts",126425,35616,64008
"Bristol County, Massachusetts",561037,35747,284670
"Dukes County, Massachusetts",17312,45990,8730
"Essex County, Massachusetts",783676,42347,408720
"Franklin County, Massachusetts",70577,35908,36728
"Hampden County, Massachusetts",467871,30346,217690
"Hampshire County, Massachusetts",161032,34838,84132
"Middlesex County, Massachusetts",1600842,52228,888780
"Nantucket County, Massachusetts",11168,55398,6418
"Norfolk County, Massachusetts",700437,53889,376303
"Plymouth County, Massachusetts",515303,43412,267634
"Suffolk County, Massachusetts",796605,42765,441009
"Worcester County, Massachusetts",824772,37574,421838
"Alcona County, Michigan",10353,25636,3349
"Alger County, Michigan",9151,20851,3112
"Allegan County, Michigan",116143,29215,55812
"Alpena County, Michigan",28520,25957,12665
"Antrim County, Michigan",23206,31851,10050
"Arenac County, Michigan",15070,24328,5906
"Baraga County, Michigan",8421,22920,2917
"Barry County, Michigan",60540,31760,29100
"Bay County, Michigan",104104,27469,47048
"Benzie County, Michigan",17615,29425,7830
"Berrien County, Michigan",154133,30864,71622
"Branch County, Michigan",43513,25279,18727
"Calhoun County, Michigan",134212,26855,60032
"Cass County, Michigan",51523,31295,23869
"Charlevoix County, Michigan",26188,33620,12378
"Cheboygan County, Michigan",25418,26393,10470
"Chippewa County, Michigan",37629,25086,15523
"Clare County, Michigan",30651,22573,10891
"Clinton County, Michigan",78389,34761,38589
"Crawford County, Michigan",13892,26294,5482
"Delta County, Michigan",36026,27632,15578
"Dickinson County, Michigan",25439,29656,11249
"Eaton County, Michigan",109456,33427,53457
"Emmet County, Michigan",33104,34074,16414
"Genesee County, Michigan",407875,27295,172390
"Gladwin County, Michigan",25279,25657,8954
"Gogebic County, Michigan",15061,25555,5978
"Grand Traverse County, Michigan",92181,35405,46754
"Gratiot County, Michigan",40916,23616,16358
"Hillsdale County, Michigan",45757,25621,19421
"Houghton County, Michigan",36070,23421,15275
"Huron County, Michigan",31349,27852,13883
"Ingham County, Michigan",290587,29380,143566
"Ionia County, Michigan",64300,24864,28978
"Iosco County, Michigan",25197,25264,9108
"Iron County, Michigan",11152,25944,4402
"Isabella County, Michigan",70688,23888,33830
"Jackson County, Michigan",158636,28364,68695
"Kalamazoo County, Michigan",262745,31975,133538
"Kalkaska County, Michigan",17585,24358,7355
"Kent County, Michigan",648121,32524,335479
"Keweenaw County, Michigan",2111,34608,822
"Lake County, Michigan",11852,20461,3881
"Lapeer County, Michigan",88038,30344,40033
"Leelanau County, Michigan",21652,39073,9850
"Lenawee County, Michigan",98381,27850,44628
"Livingston County, Michigan",189754,40351,97775
"Luce County, Michigan",6338,22350,2085
"Mackinac County, Michigan",10780,28966,4519
"Macomb County, Michigan",870325,32238,427598
"Manistee County, Michigan",24457,26668,9518
"Marquette County, Michigan",66686,27979,30540
"Mason County, Michigan",28954,29549,12825
"Mecosta County, Michigan",43251,23431,18616
"Menominee County, Michigan",23074,27942,10898
"Midland County, Michigan",83355,36142,38139
"Missaukee County, Michigan",15028,23838,6322
"Monroe County, Michigan",149727,31481,70276
"Montcalm County, Michigan",63413,24200,27378
"Montmorency County, Michigan",9265,23958,3046
"Muskegon County, Michigan",173297,25435,75858
"Newaygo County, Michigan",48366,25451,20392
"Oakland County, Michigan",1253185,44629,646682
"Oceana County, Michigan",26416,24345,11170
"Ogemaw County, Michigan",20898,23787,7599
"Ontonagon County, Michigan",5877,25022,2033
"Osceola County, Michigan",23290,22692,8934
"Oscoda County, Michigan",8248,24889,2828
"Otsego County, Michigan",24490,27234,10833
"Ottawa County, Michigan",286558,31872,148950
"Presque Isle County, Michigan",12714,28103,4678
"Roscommon County, Michigan",23851,25807,7944
"Saginaw County, Michigan",191821,28030,82783
"St. Clair County, Michigan",159247,30703,73161
"St. Joseph County, Michigan",60836,26248,28156
"Sanilac County, Michigan",41295,25871,17842
"Schoolcraft County, Michigan",8048,24647,2985
"Shiawassee County, Michigan",68340,28437,31878
"Tuscola County, Michigan",52939,25996,22922
